artDate,sentiment_class,size
2023-08-05,正向,2
2023-08-06,負向,2
2023-08-06,正向,6
2023-08-07,正向,7
2023-08-07,負向,2
2023-08-08,正向,7
2023-08-08,負向,17
2023-08-09,正向,10
2023-08-09,負向,34
2023-08-10,正向,16
2023-08-10,負向,50
2023-08-11,負向,41
2023-08-11,正向,11
2023-08-12,正向,52
2023-08-12,負向,88
2023-08-13,正向,27
2023-08-13,負向,66
2023-08-14,正向,23
2023-08-14,負向,62
2023-08-15,正向,12
2023-08-15,負向,34
2023-08-16,負向,27
2023-08-16,正向,9
2023-08-17,正向,1
2023-09-06,正向,4
2023-09-06,負向,4
2023-09-07,正向,5
2023-09-07,負向,9
2023-09-08,正向,7
2023-09-08,負向,2
2023-09-09,負向,5
2023-09-09,正向,4
2023-09-10,正向,7
2023-09-10,負向,5
2023-09-11,正向,5
2023-09-11,負向,5
2023-09-12,正向,3
2023-09-12,負向,8
2023-09-13,負向,5
2023-09-14,負向,3
2023-09-14,正向,3
2023-09-15,負向,5
2023-09-15,正向,2
2023-09-16,正向,7
2023-09-16,負向,3
2023-09-17,正向,6
2023-09-17,負向,7
2023-09-18,正向,4
2023-09-18,負向,4
2023-09-19,正向,4
2023-09-19,負向,5
2023-09-20,負向,4
2023-09-20,正向,1
2023-09-21,正向,3
2023-09-21,負向,3
2023-09-22,正向,3
2023-09-22,負向,10
2023-09-23,正向,2
2023-09-23,負向,3
2023-09-24,正向,5
2023-09-24,負向,4
2023-09-25,正向,4
2023-09-25,負向,2
2023-09-26,負向,4
2023-09-26,正向,2
2023-09-27,負向,8
2023-09-27,正向,3
2023-09-28,正向,3
2023-09-28,負向,2
2023-09-29,正向,1
2023-09-29,負向,1
2023-09-30,正向,4
2023-09-30,負向,8
2023-10-01,正向,6
2023-10-01,負向,7
2023-10-02,負向,1
2023-10-02,正向,4
2023-10-03,正向,4
2023-10-03,負向,4
2023-10-04,正向,9
2023-10-04,負向,6
2023-10-05,正向,2
2023-10-05,負向,7
2023-10-06,正向,2
2023-10-06,負向,15
2023-10-07,負向,12
2023-10-07,正向,3
2023-10-08,正向,3
2023-10-08,負向,3
2023-10-09,正向,4
2023-10-09,負向,4
2023-10-10,正向,1
2023-10-10,負向,5
2023-10-11,負向,3
2023-10-12,負向,5
2023-10-12,正向,3
2023-10-13,負向,1
2023-10-13,正向,1
2023-10-14,負向,1
2023-10-15,正向,2
2023-10-15,負向,1
2023-10-16,正向,2
2023-10-16,負向,5
2023-10-17,正向,4
2023-10-17,負向,4
2023-10-18,正向,2
2023-10-18,負向,4
2023-10-19,負向,6
2023-10-19,正向,2
2023-10-20,正向,2
2023-10-20,負向,2
2023-10-21,正向,5
2023-10-21,負向,4
2023-10-22,正向,6
2023-10-22,負向,4
2023-10-23,負向,7
2023-10-24,正向,2
2023-10-25,負向,2
2023-10-25,正向,1
2023-10-26,負向,4
2023-10-27,正向,2
2023-10-27,負向,1
2023-10-28,正向,3
2023-10-28,負向,3
2023-10-29,正向,2
2023-10-29,負向,3
2023-10-30,正向,1
2023-10-30,負向,2
2023-10-31,負向,2
2023-10-31,正向,3
2023-11-01,正向,7
2023-11-01,負向,14
2023-11-02,正向,3
2023-11-02,負向,7
2023-11-03,正向,3
2023-11-03,負向,6
2023-11-04,負向,2
2023-11-05,負向,2
2023-11-06,負向,6
2023-11-07,正向,3
2023-11-07,負向,1
2023-11-08,正向,4
2023-11-08,負向,4
2023-11-09,正向,3
2023-11-09,負向,2
2023-11-10,正向,1
2023-11-10,負向,4
2023-11-11,負向,1
2023-11-11,正向,3
2023-11-12,負向,3
2023-11-12,正向,2
2023-11-13,正向,7
2023-11-13,負向,3
2023-11-14,正向,1
2023-11-14,負向,4
2023-11-15,正向,1
2023-11-15,負向,1
2023-11-16,正向,1
2023-11-16,負向,6
2023-11-17,正向,1
2023-11-17,負向,3
2023-11-18,負向,2
2023-11-19,負向,1
2023-11-20,正向,3
2023-11-20,負向,2
