word,count
台積電 先進 封裝,11
融資 金額 仟元,11
大台灣 反資增 張券,11
資增 億元 大台灣,11
綜合 外電 原文,11
買油 反賣 美債,11
仟元 資增 億元,11
金額 仟元 資增,11
長老 買油 反賣,11
燈油 長老 買油,11
台積電 分類 分析,11
外電 原文 內容,11
增張 台積 電資增,11
反資增 張券 增張,11
台積 電聯 發科,11
標題 上市 投信,11
原文 內容 台積,11
永豐 低碳 高息,11
排行 群益 台灣,10
大台灣 反券 增張,10
美債 國泰 美債元,10
跌停 長老 買油,10
排行 台積 電聯,10
退場 機制 進場,10
統計 資增 億券,10
指數 上漲 點或,10
署名 經濟日報 編譯,10
分類 選擇 刪除,10
中信 電池 儲能,10
漲停 燈油 長老,10
即時 報導 原文,10
漲跌 台積 電聯,10
資增 億券 增張,10
原文 內容 輝達,10
先進 封裝 產能,10
標題 外資 買賣,10
財經頻道 綜合 報導,10
晶圓 代工 服務,10
合計 買超 億元,10
記者 署名 工商時報,10
增億券 增張 大台灣,9
年月日 記者 署名,9
上漲 點或 收點,9
反賣 美債 國泰,9
高息 復華 台灣,9
心得 評論 台積電,9
台積電 總裁 魏哲家,9
中興 電資增 張券,9
記者 署名 中央社,9
凱基 優選 股息,9
奈米 製程 技術,9
野村 臺灣 科技,9
時間 年月日 記者,9
大台灣 反資 增張,9
排行 台積 電緯創,9
復華 臺灣 科技,9
創資增 張券 增張,9
內容 台股 今日,9
精選 高息 資增,9
台北 即時 報導,9
金額 仟元資 增億券,9
國際 策略 長谷,9
寬量 國際 策略,9
仟元資 增億券 增張,9
臺灣 科技 優息,9
張券 增張 台積,8
科技 優息 國泰,8
優於 大盤 評等,8
股息 國泰 永續,8
標題 原文 連結,8
公債 發現 問題,8
原文 標題 原文,8
台積 電在 日本,8
停顆 今日 上市,8
美股 四大 指數,8
記者 署名 中時,8
融資 金額 仟元元,8
先進 製程 技術,8
策略 長谷 月涵,8
股息 元大高 股息,8
電裝 株式會社 豐田汽車公司,8
原文 標題 英特爾,8
半導體 解決方案 公司,8
索尼 半導體 解決方案,8
心得 類免 進場,8
週四 下午 記者,8
張券 增張 櫃買,8
原文 內容 財經頻道,8
證券 名稱 超張,8
心得 評論 今天,8
時間 原文 內容,8
發布 時間 原文,8
輝達 執行長 仁勳,8
股票 張數 群益,8
內容 財經頻道 綜合,8
心得 評論 台灣,8
金額 仟元元 大台灣,8
超跌 停顆 今日,8
來源 富邦 證券,8
地緣 政治 角力,8
張券 增張 群益,8
證券 網址 內文,8
排行 來源 富邦,8
上午 記者 署名,8
增張 中興 電資增,8
富邦 證券 網址,8
退場 機制 以下,8
積電 分類 討論,8
張數 復華 台灣,8
國泰 美債 國泰,8
漲跌 超過 賣超,7
封裝 落腳 嘉義,7
買元 大美債 國泰,7
大台灣 高息 低波,7
歷史 新高 紀錄,7
興建 第二座 晶圓廠,7
增張 廣運 資增,7
全球 半導體 產業,7
代工 龍頭 台積電,7
金額 仟元券 增張,7
融資 金額 仟元券,7
收盤價 漲跌 長榮,7
美債 買元 大美債,7
積電 分類 多空,7
積體電路 製造 股份,7
製造 股份 有限公司,7
英特爾 晶圓 代工,7
護國 神山 台積電,7
證券 交易所 臺灣,7
臺灣 價值 高息,7
交易所 臺灣 期貨,7
張券 增張 華泰,7
臺灣 期貨 交易所,7
資料 來源 臺灣,7
原文 內容 美股,7
仟元券 增張 大台灣,7
護國 神山 台積,7
國泰 美債 正元,7
賣超 漲停 燈油,7
設備 業者 表示,7
成交量 排行 群益,7
日期 買入 日期,7
買入 日期 買入,7
科技 優息 群益,7
美國 公債 發現,7
金富 邦特 選高,7
萬元 萬元 萬元,7
將台 積電 目標價,7
公司 電裝 株式會社,7
資增 張券 增張券,7
增張 國泰 美債,7
洪友芳 新竹 報導,7
記者 署名 亨網,7
解決方案 公司 電裝,7
記者 洪友芳 新竹,7
全球 晶圓 代工,6
華泰 資增 張券,6
台灣 科技 優息元,6
元月 累計 本期,6
記者 署名 新聞,6
增張 華泰 資增,6
電聯 發科 廣達,6
內容 標的 分類,6
心得 評論 台股,6
跌停 長老 賣美債,6
台積電 分類 討論,6
心得 評論 三星,6
知情 人士 透露,6
金河 臉書 發文,6
台積電 創辦人 張忠謀,6
漲停 顆燈 超跌,6
心得 評論 去年,6
台積 電日 月光,6
顆燈 超跌 停顆,6
突破 歷史 新高,6
扮演 重要 角色,6
臉書 發文 表示,6
編輯 原文 內容,6
統一 美債 國泰,6
核稿 編輯 原文,6
原文 標題 輝達,6
收盤價 漲跌 台積電,6
春節 第一個 交易日,6
原文 內容 記者,6
記者 署名 時報,6
心得 選擇 刪除,6
含息 均價 股數,6
討論 心得 選擇,6
公開 資訊 觀測站,6
永續 股息 群益,6
廣運 資增 張券,6
目前 含息 均價,6
排行 股票名稱 成交,6
股票名稱 成交 漲跌,6
成交 漲跌 投信,6
漲跌 投信 外資,6
發布 時間 經濟日報,6
資增 張櫃 信用,6
元大高 股息 國泰,6
營收 複合 成長率,6
製程 先進 封裝,6
晶圓 代工 產業,6
均價 股數 獲利,6
合併 營收 億元,6
標的 分類 多空,6
億元 心得 評論,6
增張 長榮 資增,6
張券 增張 長榮,6
新光 台灣 半導體,6
農曆 春節 第一個,6
新光 臺灣 半導體,6
損非 長期 投資者,6
署名 中時 新聞網,6
營收 台幣 億萬元,6
賣超 張數 復華,6
採用 台積 電奈米,6
供應鏈 廠商 營收,6
億元 投信 買超,6
券商 研究 覆蓋,6
台灣 積體電路 製造,6
長老 賣美債 買元,5
矽谷 台灣 人餐,5
創辦人 張忠謀 董事長,5
台積電 分類 選擇,5
資增 張券 增張緯,5
國泰 美債 發現,5
張忠謀 董事長 劉德音,5
元大台灣 高息 低波,5
大美債 正元 大美債,5
