system_id,word,ner
8,趙少康,PERSON
8,趙少康,PERSON
8,賴清德,PERSON
8,中廣,ORG
8,蕭美琴,PERSON
8,美國,GPE
8,美商,NORP
8,美光,ORG
8,台灣,GPE
8,微軟,ORG
8,台灣,GPE
8,民進黨,ORG
8,美商,NORP
8,趙少康,PERSON
8,第二,ORDINAL
8,蕭美琴,PERSON
8,中,GPE
8,華民國,GPE
8,蕭美琴,PERSON
8,國民黨,ORG
8,幾年前,DATE
8,吳欣盈,PERSON
8,趙少康,PERSON
8,蕭美琴,PERSON
8,民眾黨,ORG
8,萬萬,CARDINAL
8,三,CARDINAL
8,鄭宇辰,PERSON
8,吳欣盈,PERSON
8,第二,ORDINAL
8,兩,CARDINAL
8,蕭美琴,PERSON
8,趙少康,PERSON
8,環保署長,ORG
8,趙少康,PERSON
8,第三,ORDINAL
8,蕭美琴,PERSON
8,蕭美琴,PERSON
8,欣盈,PERSON
8,蕭美琴,PERSON
8,趙少康,PERSON
8,侯友宜,PERSON
8,趙少康,PERSON
8,憲法,LAW
8,侯友宜,PERSON
8,吳欣盈,PERSON
8,民眾黨,ORG
8,趙少康,PERSON
8,吳欣盈,PERSON
8,兩,CARDINAL
8,趙少康,PERSON
8,中國大陸,GPE
8,高達億美元,MONEY
8,台灣,GPE
8,民進黨,ORG
8,蕭美琴,PERSON
8,兩,CARDINAL
8,兩,CARDINAL
8,第四,ORDINAL
8,賴清德,PERSON
8,前天,DATE
8,中華民國,GPE
8,中華民國,GPE
8,中華民國,GPE
8,中華民國憲法,LAW
8,兩,CARDINAL
8,清德,PERSON
8,台灣,GPE
8,賴清德,PERSON
8,萬,CARDINAL
8,大陸,GPE
8,台灣,GPE
8,台灣,GPE
8,兩,CARDINAL
8,台灣,GPE
8,民眾黨,ORG
8,兩,CARDINAL
8,台灣,GPE
8,台灣,NORP
8,中國共產黨,ORG
8,台灣,GPE
8,民進黨,ORG
8,賴清德,PERSON
8,國台辦,ORG
8,國台辦,ORG
8,台灣,GPE
8,台灣,GPE
8,賴清德,PERSON
8,蕭美琴,PERSON
8,台灣,GPE
8,台灣,GPE
8,吳欣盈,PERSON
8,趙少康,PERSON
8,侯友宜,PERSON
8,吳欣盈,PERSON
8,鄭宇辰,PERSON
8,趙少康,PERSON
8,侯友宜,PERSON
8,鄭宇辰,PERSON
8,蕭美琴,PERSON
8,鄭宇辰,PERSON
8,吳欣盈,PERSON
8,趙少康,PERSON
8,特偵組,ORG
8,民眾黨,ORG
8,柯文哲,PERSON
8,兩岸,LOC
8,趙少康,PERSON
8,美國,NORP
8,泰勒絲,PERSON
8,台,GPE
8,泰勒絲,PERSON
8,吳欣盈席,PERSON
8,趙少康,PERSON
8,柯文哲,PERSON
8,吳欣盈,PERSON
8,萬元,MONEY
8,趙少康,PERSON
8,萬,CARDINAL
8,萬,CARDINAL
8,侯友宜,PERSON
8,萬元,MONEY
8,兩,CARDINAL
8,蕭美琴,PERSON
9,阿,GPE
9,這幾年,DATE
9,三,CARDINAL
9,研究院,ORG
10,夏天,DATE
10,台灣,GPE
12,賴清德,PERSON
12,三千多萬,CARDINAL
12,柯文哲,PERSON
12,國會,ORG
12,民眾黨,ORG
12,阿特,GPE
12,清廉,DATE
13,第二,ORDINAL
13,太陽花,ORG
13,第三,ORDINAL
13,民進黨,ORG
13,賴清德,PERSON
13,老二,ORDINAL
13,兩,CARDINAL
13,賴中,PERSON
13,賴,PERSON
13,賴清德,PERSON
13,蔡英文,PERSON
13,蔡英文,PERSON
13,民進黨,ORG
13,民進黨,ORG
13,民進黨,ORG
13,蔡龜頭,PERSON
13,台北人,NORP
13,尼馬卡好勒,PERSON
13,第次,ORDINAL
13,柯文哲,PERSON
13,綠網軍,ORG
13,民進黨,ORG
13,柯,PERSON
13,民進黨,ORG
14,丘采薇,PERSON
14,土城,GPE
14,萬,CARDINAL
14,蘇貞昌,PERSON
14,民進黨,ORG
14,民進黨,ORG
14,賴清德,PERSON
14,今天,DATE
14,台灣,GPE
14,萬,CARDINAL
14,新北市土城,GPE
14,萬,CARDINAL
14,行政院,ORG
14,蘇貞昌,PERSON
14,蘇貞昌,PERSON
14,新北市,GPE
14,蔡,PERSON
14,億元,MONEY
14,國民黨,ORG
14,民進黨,ORG
14,蘇貞昌,PERSON
14,國民黨,ORG
14,八年,DATE
14,民進黨,ORG
14,民進黨,ORG
14,台灣,GPE
14,台商,NORP
14,台,GPE
14,武漢,GPE
14,台灣,GPE
14,台,GPE
14,台灣,GPE
14,香港,GPE
14,蘇貞昌,PERSON
14,國民黨,ORG
14,億元,MONEY
14,民進黨,ORG
14,億元,MONEY
14,國民黨,ORG
14,民進黨,ORG
14,億元,MONEY
14,國民黨,ORG
14,台灣,GPE
14,蔡,PERSON
14,八年,DATE
14,萬千多,CARDINAL
14,蔡,PERSON
14,國民黨,ORG
14,蔡,PERSON
14,兩年,DATE
14,中央,ORG
14,六千,CARDINAL
14,三,CARDINAL
14,蘇貞昌,PERSON
14,民進黨,ORG
14,國民黨,ORG
14,蘇貞昌,PERSON
14,前幾天,DATE
14,三,CARDINAL
14,賴蕭,PERSON
14,台灣,GPE
14,中國,GPE
14,國民黨,ORG
14,中國,GPE
14,中國,GPE
14,中國,GPE
14,萬,CARDINAL
14,萬,CARDINAL
14,台灣,GPE
14,國民黨,ORG
14,服貿,ORG
14,蘇貞昌,PERSON
14,蔡,PERSON
14,八年,DATE
14,台灣,GPE
14,台灣,GPE
14,中國,GPE
14,台灣,GPE
14,中國,GPE
14,台灣,GPE
14,賴清德,PERSON
14,蕭美琴,PERSON
14,兩,CARDINAL
15,萬五,CARDINAL
15,三小時,TIME
15,兩天天,DATE
15,三十萬,CARDINAL
15,十年,DATE
16,億元,MONEY
16,臺灣,GPE
16,台灣,GPE
16,亞洲,LOC
16,台電,ORG
16,綠電公司,ORG
16,百億,CARDINAL
16,台電,ORG
16,監察院,ORG
17,九州電力,ORG
17,日本,NORP
17,億日圓,MONEY
17,去年,DATE
17,關西電力,ORG
17,前年,DATE
17,億日幣,MONEY
17,經濟部,ORG
17,台電中油,ORG
19,民進黨,ORG
19,雲豹,PERSON
19,地球,LOC
19,台汽車,ORG
19,今天,DATE
19,蕭美琴,PERSON
19,民進黨,ORG
19,蕭美琴,PERSON
19,民進黨,ORG
19,中國大陸,GPE
19,綠共黨,ORG
19,台電,ORG
19,八成,CARDINAL
19,台電,ORG
19,中油,ORG
19,蔡英文,PERSON
19,台灣,GPE
19,台蔡,PERSON
19,賴清德,PERSON
19,美國人,NORP
19,蕭美琴,PERSON
20,蔡英文,PERSON
20,民進黨,ORG
20,年月月出現年,DATE
20,台,GPE
20,農委會,ORG
20,陳吉仲,PERSON
20,農業部長,ORG
20,綠營側,PERSON
20,萬元,MONEY
20,好幾億,CARDINAL
20,林好油,FAC
20,李惠仁,PERSON
20,年月,DATE
20,民進黨,ORG
20,當年,DATE
20,美濃水庫,FAC
20,上千年,DATE
20,蔡英文,PERSON
20,賴清德,PERSON
20,當年,DATE
20,蔡英文,PERSON
20,未來十年,DATE
20,晚上,TIME
20,台電中油,ORG
20,蔡,PERSON
